election,precinct,registered,cast,democrat,republican
"March 3rd, 2020 Joint Primary",3131,2,1,0,1
"March 3rd, 2020 Joint Primary",3132,1591,269,214,55
"March 3rd, 2020 Joint Primary",3133,0,0,0,0
"March 3rd, 2020 Joint Primary",3134,3189,595,459,136
"March 3rd, 2020 Joint Primary",3135,946,267,182,85
"March 3rd, 2020 Joint Primary",3136,479,181,110,71
"March 3rd, 2020 Joint Primary",3137,4877,984,586,398
"March 3rd, 2020 Joint Primary",3138,55,15,3,12
"March 3rd, 2020 Joint Primary",3139,1579,374,254,120
"March 3rd, 2020 Joint Primary",3140,407,100,71,29
"March 3rd, 2020 Joint Primary",3141,1547,388,255,133
"March 3rd, 2020 Joint Primary",3142,471,76,57,19
"March 3rd, 2020 Joint Primary",3143,1535,439,278,161
"March 3rd, 2020 Joint Primary",3144,316,112,72,40
"March 3rd, 2020 Joint Primary",3145,3266,876,494,382
"March 3rd, 2020 Joint Primary",3146,3427,923,678,245
"March 3rd, 2020 Joint Primary",3147,2467,739,501,238
"March 3rd, 2020 Joint Primary",3148,1280,316,155,161
"March 3rd, 2020 Joint Primary",3149,4220,497,465,32
"March 3rd, 2020 Joint Primary",3150,36,9,6,3
"March 3rd, 2020 Joint Primary",3151,2948,750,416,334
"March 3rd, 2020 Joint Primary",3152,1820,353,271,82
"March 3rd, 2020 Joint Primary",3153,1516,441,253,188
"March 3rd, 2020 Joint Primary",3154,1681,570,278,292
"March 3rd, 2020 Joint Primary",3155,2870,711,389,322
"March 3rd, 2020 Joint Primary",3156,13,5,3,2
"March 3rd, 2020 Joint Primary",3157,2627,878,493,385
"March 3rd, 2020 Joint Primary",3158,60,22,13,9
"March 3rd, 2020 Joint Primary",3159,2479,486,309,177
"March 3rd, 2020 Joint Primary",3160,1623,397,214,183
"March 3rd, 2020 Joint Primary",3161,2780,635,433,202
"March 3rd, 2020 Joint Primary",3162,1257,314,203,111
"March 3rd, 2020 Joint Primary",3163,2578,750,385,365
"March 3rd, 2020 Joint Primary",3164,2003,497,264,233
"March 3rd, 2020 Joint Primary",3165,3696,1001,569,432
"March 3rd, 2020 Joint Primary",3166,518,180,122,58
"March 3rd, 2020 Joint Primary",3167,13,2,1,1
"March 3rd, 2020 Joint Primary",3168,541,140,92,48
"March 3rd, 2020 Joint Primary",3169,145,42,20,22
"March 3rd, 2020 Joint Primary",3170,0,0,0,0
"March 3rd, 2020 Joint Primary",3171,0,0,0,0
"March 3rd, 2020 Joint Primary",3172,576,137,102,35
"March 3rd, 2020 Joint Primary",3173,3518,886,500,386
"March 3rd, 2020 Joint Primary",3174,3966,1067,586,481
"March 3rd, 2020 Joint Primary",3175,616,209,132,77
"March 3rd, 2020 Joint Primary",3176,34,21,14,7
"March 3rd, 2020 Joint Primary",3177,0,0,0,0
"March 3rd, 2020 Joint Primary",3178,0,0,0,0
"March 3rd, 2020 Joint Primary",3179,0,0,0,0
"March 3rd, 2020 Joint Primary",3180,1113,333,217,116
"March 3rd, 2020 Joint Primary",3181,2130,652,334,318
"March 3rd, 2020 Joint Primary",3182,761,276,169,107
"March 3rd, 2020 Joint Primary",3183,14,3,0,3
"March 3rd, 2020 Joint Primary",3184,261,39,25,14
"March 3rd, 2020 Joint Primary",3185,263,65,44,21
"March 3rd, 2020 Joint Primary",3186,0,0,0,0
"March 3rd, 2020 Joint Primary",3187,0,0,0,0
"March 3rd, 2020 Joint Primary",3188,0,0,0,0
"March 3rd, 2020 Joint Primary",3189,1078,284,199,85
"March 3rd, 2020 Joint Primary",3190,413,70,51,19
"March 3rd, 2020 Joint Primary",3191,213,52,24,28
"March 3rd, 2020 Joint Primary",3192,0,0,0,0
"March 3rd, 2020 Joint Primary",3193,204,53,31,22
"March 3rd, 2020 Joint Primary",3194,3769,777,410,367
"March 3rd, 2020 Joint Primary",3195,2576,418,332,86
"March 3rd, 2020 Joint Primary",3196,12,1,0,1
"March 3rd, 2020 Joint Primary",3197,0,0,0,0
"March 3rd, 2020 Joint Primary",3198,708,182,105,77
"March 3rd, 2020 Joint Primary",3199,3411,695,363,332
"March 3rd, 2020 Joint Primary",3200,0,0,0,0
"March 3rd, 2020 Joint Primary",3201,4091,941,432,509
"March 3rd, 2020 Joint Primary",3202,1045,220,130,90
"March 3rd, 2020 Joint Primary",3203,473,125,60,65
"March 3rd, 2020 Joint Primary",3204,0,0,0,0
"March 3rd, 2020 Joint Primary",3205,0,0,0,0
"March 3rd, 2020 Joint Primary",3206,173,41,35,6
"March 3rd, 2020 Joint Primary",3207,5,1,1,0
"March 3rd, 2020 Joint Primary",3208,92,27,26,1
"March 3rd, 2020 Joint Primary",3209,708,231,118,113
"March 3rd, 2020 Joint Primary",3210,2338,599,413,186
"March 3rd, 2020 Joint Primary",4001,2838,825,704,121
"March 3rd, 2020 Joint Primary",4002,1036,140,125,15
"March 3rd, 2020 Joint Primary",4003,1401,239,214,25
"March 3rd, 2020 Joint Primary",4004,1077,288,244,44
"March 3rd, 2020 Joint Primary",4005,1761,400,367,33
"March 3rd, 2020 Joint Primary",4006,685,159,142,17
"March 3rd, 2020 Joint Primary",4007,1726,114,78,36
"March 3rd, 2020 Joint Primary",4008,677,230,160,70
"March 3rd, 2020 Joint Primary",4009,1068,141,121,20
"March 3rd, 2020 Joint Primary",4010,1416,198,179,19
"March 3rd, 2020 Joint Primary",4011,1504,241,221,20
"March 3rd, 2020 Joint Primary",4012,930,120,106,14
"March 3rd, 2020 Joint Primary",4013,970,172,146,26
"March 3rd, 2020 Joint Primary",4014,466,83,75,8
"March 3rd, 2020 Joint Primary",4015,1799,437,395,42
"March 3rd, 2020 Joint Primary",4016,2339,532,446,86
"March 3rd, 2020 Joint Primary",4017,2303,638,576,62
"March 3rd, 2020 Joint Primary",4018,1013,448,398,50
"March 3rd, 2020 Joint Primary",4019,2804,466,372,94
"March 3rd, 2020 Joint Primary",4020,1358,219,167,52
"March 3rd, 2020 Joint Primary",4021,1149,224,160,64
"March 3rd, 2020 Joint Primary",4022,268,29,18,11
"March 3rd, 2020 Joint Primary",4023,2345,554,395,159
"March 3rd, 2020 Joint Primary",4024,2792,596,446,150
"March 3rd, 2020 Joint Primary",4025,1294,236,186,50
"March 3rd, 2020 Joint Primary",4026,3580,613,500,113
"March 3rd, 2020 Joint Primary",4027,1589,381,311,70
"March 3rd, 2020 Joint Primary",4028,2325,641,564,77
"March 3rd, 2020 Joint Primary",4029,2409,398,362,36
